usuario,followers,friends,tweet,retweets
rosi_amerena,656,1198,1,0
omarterrones,1615,1932,1,0
RenecastroCR,16836,430,1,0
anikka91,831,1719,8,0
jgzacarias,283,541,1,0
mikelcallejo,431,1014,1,0
daannyfg,10,76,1,0
tanmarti,108,240,0,1
CRAranjuez,933,448,0,1
Umedicolegio,682,55,1,0
juanjomanzano,2658,202,1,1
tizayucacecyteh,642,175,1,0
AdelaidaDeLaR16,2,2,1,0
bernalette1,2978,1008,1,0
SantiagoTepec,523,190,1,0
sandra_ireri,112,958,1,0
Mrosarioalarcon,52,107,1,0
linaarbelaez,2300,1097,1,0
Radiocamarapy,10584,845,1,0
RobertoValentUN,21056,11024,1,0
BeatrizHoster,246,170,1,0
mtamayor,6913,3141,1,0
platdeinfancia,16443,4468,0,3
EmpresaEscuela,56,145,0,3
aambros,2107,1535,15,0
vpalacios2,435,582,2,0
Aulasmultimedia,4930,1909,1,0
SchulbaumO,2288,2307,2,0
VargasGalvis,978,574,1,0
legadosolidario,305,165,1,0
aaacoa_asoc,33,73,1,0
DrSantacreu,1867,1018,1,0
ckundaa,303,847,0,2
AuditoriaAGN,6738,334,0,3
felipe86737515,9,85,1,0
TmallogMallo,990,4919,1,0
Jimeley2,39,10,1,0
Fdo_Cabezas,285,1026,1,0
joaquineku,3114,3788,1,0
MindusIndustria,1972,295,2,0
AytoVilladprado,1487,208,1,0
agusrechy,925,1550,1,0
Elarkidelbarrio,588,1629,8,0
rebe_pc,72,263,1,0
ama1215,669,2053,1,0
euskalfondoa1,137,198,1,0
iagobueno,313,734,4,8
itaipuparaguay,44688,826,0,1
PISCITUS,110,500,1,0
bailosofia,12,74,0,1
JohanaCiro,612,585,1,0
DaniloC74166145,383,867,1,0
asiet_lat,6391,3046,0,2
azbcomm,13,66,1,0
OIMChile,5642,3412,0,5
jav0m0rales,530,550,1,0
FerMJ8,40,228,2,0
crespial,1318,252,0,1
JuntosporlaVida,795,836,1,0
UnSocialConfuso,238,409,1,0
PremioSacha,444,327,0,2
HEVIACHAVARRI,252,507,0,1
ACN_Veterinario,1123,325,3,0
Funtrajusto1,126,258,1,0
CamiSilver,201,449,1,0
vbuendia60,113,79,1,0
flopezsastre,136,303,1,0
sagittas1,96,351,1,0
SaludMentalRM,1549,471,1,0
megajuanjopy,290,740,1,0
psangar1,124,189,0,1
cordovarei,85,349,1,0
naujg,200,770,1,0
jjlg83,83,244,1,0
ndequeiros,1063,364,6,1
OLACEFS_oficial,174,30,0,1
jorge_edward,2059,4443,2,0
Apcanoc,167,1758,1,0
CSinguilucan,629,181,2,3
favre99,479,1565,1,0
barbiebiologa,1362,407,1,0
remecanelada,33,152,3,0
maristascompost,1723,135,2,0
EANAMaestrazgo,1688,1763,0,1
RAULRAMOSSOLAR,1382,1748,1,0
aliciaselles,1350,693,0,1
RClinton_SH,915,919,1,0
BrezoSintes,115,338,0,3
rael101471,37,110,1,0
Violet_Ruouiz,3023,1386,14,0
PellicerEugenio,564,746,6,0
CinthyaLpez10,377,662,1,0
Ana_Scherman,1566,1398,0,1
baritono_anorve,1394,1636,1,0
EnergiasECO,2058,464,2,0
rtorres_javier,619,1405,1,0
JovenesPacifico,171,46,1,0
Bankia,27672,383,0,1
SALC_Occitanie,60,93,1,0
aitor_ecoper,364,237,1,0
Gremabgt,106,294,0,2
FEIQUE_REACH,1057,730,1,0
SaidhMG,207,1169,1,0
DiazStrunz,1814,674,2,0
CigudosaJuan,762,356,1,0
GranCanariaMICE,198,140,0,1
Valentinici,1107,4928,1,0
janethmm2888,93,316,1,0
Areandina,20630,5939,0,1
DP_MAEBolivar,1446,286,1,0
POI_CyL,82,169,1,0
PepeGarcitapia,3535,1682,2,0
CFLeonas,10368,265,1,0
agorarsc,12862,3160,16,15
ConsultoresOrbi,8,86,1,0
gonzalezmateos,721,1082,1,0
jutruan,1042,566,1,0
Gdo_Castellanos,358,378,1,0
jaramillorojasL,103,353,1,0
renegora,33,101,1,0
montserrattoha,80,248,1,0
ElcheCoopera,437,196,1,0
diegoarisi,257,573,0,1
rechepozo,814,2968,1,0
MariaBaRivas,181,463,1,0
Ciencies_IESCC,78,64,1,0
wecoplan,756,397,1,0
contacteando,1876,1019,1,1
Roximalibu,105,769,1,0
EugenioPrieto,21376,2192,0,1
Vchaicon,526,212,1,0
nataotava,239,214,1,0
GomezCojo,343,1002,1,0
pacohurtado,1504,1339,1,0
MariContr3ras,532,1253,0,1
CulturaRSC,4999,628,7,1
AlfredoGHD,81,158,1,0
Andrea_Nino1,6,32,2,0
RaulMoralUMH,871,731,1,0
Lili_en_uy,29,69,1,0
sustrategies,64,180,0,2
grpinnovaris,800,1589,0,1
soycarago,269,828,1,0
Obdulio_MM,678,228,1,0
konfekoop,538,514,3,0
pepitaygrano,582,177,1,0
yilanybs,233,68,1,0
CorporacionGPF,1419,212,0,1
gablozano,280,762,0,3
muniecentral,9458,1327,1,0
UNV_ROLAC,355,121,0,1
AmpfmexMario,163,126,1,0
ComUTPL,202,191,3,0
salitre55,3,229,1,0
eduardoll21,443,2065,1,0
Arturito576,297,320,1,0
TOPIzgz,1303,1052,1,0
BlancaDios1,1022,1742,1,0
SandraRaquelLo3,3,30,1,0
MenorcaBiosfera,4022,848,1,0
Daniela_Santa,34,108,2,0
carlospineda129,348,1837,2,0
Rosendo_barr,80,63,1,0
Jalexhenao,12,98,1,0
sonilink,2074,1936,1,0
alirenedo,1045,1540,2,0
UAM_Ediciones,866,748,0,1
PROhumana,12241,6368,0,3
Lpachec_o,204,833,1,0
MBezunartea,291,566,1,0
itomees,105,192,1,0
CSecundaria,3866,3849,0,1
TF_ecca,1347,694,1,0
ranea_garcia,513,2379,1,0
ucomur,4057,4876,0,1
variniaespinoza,829,610,1,0
ema_rosas13,144,240,1,0
oeg_upm,1088,166,1,1
PacoEsquide,1083,941,1,0
esteruco,170,263,5,0
_MacarenaSP,58,89,1,0
aotrejos,508,1918,0,1
Fundacion_ONCE,56118,1129,0,1
mutualiamutua,804,296,0,1
alba_mg90,92,228,1,0
m_pascual_m,653,4997,1,0
pezestudio,4889,3106,2,0
cONGDcar,1734,802,1,1
AnaFidalCam,238,233,1,0
gloriaalcocer,2469,2023,1,0
LosAmigosDePao,29,13,2,0
mehicebagual,251,942,2,0
quameorg,980,1044,1,0
Inmujer,16804,88,1,0
GSChan292,597,150,1,0
nadiadeleonp,372,311,1,0
rubenborrega,141,357,6,3
Admon_GobOax,10089,242,1,0
maariiaab_99,902,628,1,0
feliperedondom2,2094,3428,1,0
vikyvilarino,456,280,1,1
SocEnterpriseES,1485,1413,1,0
ZacMukuy,2379,700,0,1
SostenibleRSC,175,350,0,1
MarioDi03496960,31,91,2,0
UNFPABolivia,2170,1586,1,0
InkaMattila,2974,1263,3,2
Cotec_Innova,39017,1622,13,4
irmitaota,14,7,1,0
alesan_74,864,2972,1,0
FBiodiversidad,65751,482,0,2
rluislopez,757,4528,1,0
Meugeniaperezea,436,316,1,0
2FrenteaFrente,222,286,1,1
SalmoranLDavid,61,43,1,0
VillafaneyAsoc,1833,766,0,2
malurubio12,132,175,1,0
ana_ramirezf,191,317,0,1
squadrado,2084,498,1,0
mteresj,187,325,1,0
PNUD_ALGenera,6499,1495,2,0
pascuagon,79,329,0,1
ProPacificoOrg,3158,651,0,1
CEADS_AR,3873,759,2,7
Josefina_Fdez,1184,1286,2,0
luzvillamil12,170,924,1,0
CECYTEHTPAPULCO,1314,2217,1,0
jovenesxarg_,20,92,1,0
JuanezLourdes,1,21,2,0
manuelaranjuez,669,1348,1,0
PortalJMX,1740,976,2,0
RuthCevallos10,29,36,3,0
yessiislas,44,37,1,0
TraviesaEdicion,253,389,1,0
zanaines,3443,2908,1,0
Danielest_rp,157,582,1,0
GGroxanaaguirre,49907,40830,1,0
rafallanesripol,182,100,1,0
unescoMOST_LAC,3776,3599,0,1
Rhizophora9,9,157,1,0
AidaBSanchez,3827,1000,0,1
ACCIONA,114160,741,2,0
LuisRam79683177,97,117,5,0
CayoCornelio,1167,1428,1,0
DOMProvidence,12,137,1,0
unfpa_lac,4857,982,1,0
delRioPilar,36810,1025,1,0
oficialLHC,7758,7661,1,0
AlmacenCiencia,202,621,2,0
apt_americas,1033,1582,0,2
ObservaRSE_,7013,6092,1,4
lorenaflorc,6,25,1,0
DarthFaby,4657,3857,1,0
checofarias1,22,154,1,0
aranzazu5,5818,4663,1,0
SalomoniCris,441,854,1,2
AragonVoluntari,561,202,1,0
MontseBodas,263,613,1,0
JoseCerdanBelda,434,456,1,0
CalderonBassi,8331,6683,1,0
tonisolano,20997,9433,2,0
FABIANECOLOGIA,333,1014,4,0
M_Emprendedora,5157,570,8,0
alcaraz_a_a,32,162,1,0
Dulce_Muniz,6024,2558,2,0
CECyTEHgoAB,530,109,2,0
JamesPScriven,2115,308,1,0
RSCGalicia,80,42,0,1
edinsonmunozc,2849,4919,1,0
GPistako,120,645,1,0
AngelCa22471936,17,1,2,0
Hanna_Ibarra27,1899,1050,1,0
Asoicarus,913,876,1,0
Yazcardenas15,892,840,1,1
Cris_Duque_A,516,667,1,0
ArbolB,3816,3894,1,0
vicpazm,197,87,0,1
Ambiente_Azuay,2543,1197,1,0
ecarrilloisciii,91,136,1,0
desertique,5148,2612,2,0
cristinagarmend,5710,525,1,0
nachovia1,222,365,1,0
rosamelero,2149,598,13,0
SernaHidalgo,758,1452,3,0
AzucareraES,774,960,2,0
Zinqueta,1397,2019,1,0
AlfonsoOliva17,297,1106,1,0
MarcelaUIO,58,166,0,1
LAQI_quality,1008,751,0,3
AramayoFernando,30,217,2,0
ieslasendagtf,109,121,0,2
SusanaGarciaM3,170,316,1,0
sevillajordi,50266,780,1,0
Michele48051595,26,26,1,0
PauletteCorsio,2073,223,2,0
DannyLlivi,86,649,1,0
tiempoin,154,419,0,1
Ruben_Castro,938,979,1,0
ApSExtremadura,950,2476,1,0
itcanarias,299,314,1,0
Rosa22531625,27,45,1,0
Radamesenrique,146,380,1,0
PedroAzpiazu,1464,329,0,2
Gustavo83492076,36,25,1,0
horacio_urbano,14019,6539,2,0
MaFernandaCarr4,4,22,2,0
Yola_MartinezL,2977,1035,3,4
AndreaFoessel,1101,1598,1,0
correctototal,470,141,1,0
almudenaf,279,685,1,0
sali_bass,87,40,1,0
paolabernalf,2353,2094,0,1
martinmata19,552,1246,1,0
nathaliedetry,963,535,1,0
MA_Margain,2944,558,1,0
Andrea_R_C,428,2241,1,0
santiherrerago,50,331,1,0
jbmckay57,2615,1547,1,0
ConectividadCBA,3664,4448,1,0
Pipe_Gerdtzen,12478,6859,1,0
granadofdez,1583,1678,0,1
CatedraHidralia,447,460,1,0
CYTlab,8889,1811,1,0
ClaudiaCostin,78838,4213,1,0
Ecooo_,16055,4510,2,0
RogeGoGa,156,71,1,0
FAbiertas,290,625,8,0
LissyVillart,442,381,1,0
mecastron,169,412,1,0
FalconMon,151,190,0,7
LoreBrignardell,1595,957,1,0
ConsellJove,2329,849,1,0
Elenamanez,3103,1894,3,0
MahucaMaria,63,62,1,0
LauraRomeroGme1,19,63,1,0
amycosONGD,1061,430,0,1
BurgosSolidaria,592,374,1,0
Danivicnt,808,1364,1,0
Viky_Aquin,351,471,3,0
FundacionBeQual,2682,910,0,19
on_deporte,2021,778,1,0
VIVAempresa,641,1674,1,0
raquelnietogar1,90,229,3,0
Kids_and_Energy,178,61,1,0
ciedur,306,281,0,1
jcanohernandez,146,333,2,0
AnaZambranafol,301,908,1,1
sariasgo,491,288,1,0
ECU911Tulcan,7782,1288,1,0
R_Martinez97,208,702,1,0
EcuadorONU,3746,481,0,1
marbrandd,748,1228,0,1
Red_Carolina,115285,1539,16,2
ekHiN_eus,329,834,2,0
Perisandru,10833,4806,0,1
carsecor,641,1008,1,0
Chiesi_es,973,1073,2,0
Nancy_Bezies,89,195,1,0
cpando1975,960,837,1,0
tere_l_f3,99,263,2,0
javipi1964,1168,1156,4,0
centroplaza_,2527,3368,1,0
claudiamleguiza,697,1312,1,0
arielruiz_diaz,717,2281,1,0
CASC_CAT,1299,772,1,0
proactivoperu,3120,1007,1,0
Tashi96428701,73,193,3,0
NievessNievess,37,110,1,0
rsanch11,99,99,1,0
ginariano,898,267,2,0
Jose_mpp,242,1750,1,0
MarianaCaccia,409,2561,1,0
JuanTean,253,3510,2,0
cinemoviltoto,1357,1555,0,3
carlosmcabo,1202,1172,0,3
CathyGaldz,198,666,1,0
pattyfalconi,555,3078,0,1
InmaVelascoJuez,227,118,2,0
Cristia16062147,4,1,2,0
M_LuzOrtega,2367,1839,7,0
mariaferquijano,247,548,2,0
ZorroITQ,67,37,1,0
EduardoBarriuso,171,614,1,0
Biblioteca_UNED,20887,975,1,0
CuberoNaia,2,14,1,0
EmbEspSkopje,1450,570,0,3
lhmastran,2317,1222,1,0
ElisavaBCN,15160,929,1,0
CDSustentable,2780,4339,1,0
49Rodolfo1,5,54,1,0
EleComoPuente,147,316,0,1
UnLtdSpain,3379,2024,1,2
Eduard68715141,17,74,1,0
